제목,도로명주소,지역,위도,경도,인기점수
대수길다방,제주특별자치도 제주시 구좌읍 대수길 24,제주시,33.536611,126.8381958,5804
카페 도두,제주특별자치도 제주시 서해안로 342,제주시,33.510235,126.48173,10247
쫑이네밥집,제주특별자치도 서귀포시 성산읍 환해장성로 549,서귀포시,33.40525,126.903854,3578
컴홈,제주특별자치도 제주시 노형6길 9,제주시,33.483097,126.477234,3564
돈이랑 정육점식당,제주특별자치도 서귀포시 중문관광로 321,서귀포시,33.2490194,126.4301507,2832
어반르토아,제주특별자치도 제주시 구남동5길 36,제주시,33.491074,126.54205,3454
범선국수,제주특별자치도 제주시 우도면 우도해안길 832,제주시,33.51204,126.95887,979
탐라면,제주특별자치도 제주시 애월읍 애월로 37,제주시,33.462128,126.31228,4611
모모제이,제주특별자치도 제주시 인다8길 36-1,제주시,33.4261379,126.5626925,2941
그리다앤쿡,제주특별자치도 제주시 신성로 111,제주시,33.497475,126.530716,5800
전복사랑,제주특별자치도 제주시 서해안로 354,제주시,33.510433,126.483025,2022
돈수육,제주특별자치도 서귀포시 신서귀로 54,서귀포시,33.2536904,126.5117884,830
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192,서귀포시,33.2515765,126.4251078,36935
엘리펀시아,제주특별자치도 제주시 1100로 3124,제주시,33.483097,126.477234,4392
오름위에버거,제주특별자치도 제주시 한경면 녹차분재로 510,제주시,33.317596,126.270035,1282
고집돌우럭(중문),제주특별자치도 서귀포시 일주서로 879,서귀포시,33.25799,126.41676,48375
뚱딴지 애월본점,제주특별자치도 제주시 애월읍 부룡수길 17,제주시,33.4747059,126.3548576,2684
샤라의정원,제주특별자치도 제주시 조천읍 선교로 198-2,제주시,33.485813,126.699,6535
소금빵까페 키친오즈,제주특별자치도 제주시 한림읍 협재로 208,제주시,33.38007,126.25113,21961
춤추는오병장의돼지꿈,제주특별자치도 제주시 일주동로 291,제주시,33.5216,126.57609,1341
원담,제주특별자치도 제주시 동광로1길 13,제주시,33.5021563,126.5287933,484
오데뜨,제주특별자치도 제주시 한림읍 중산간서로 4995-6,제주시,33.4107396,126.2948737,4988
교래아름가든,제주특별자치도 제주시 조천읍 교래3길 24,제주시,33.43561,126.67878,2608
꼬꼬닭한마리,제주특별자치도 서귀포시 안덕면 녹차분재로 59번길 6,서귀포시,33.29061,126.300934,6132
탑동패밀리레스토랑,제주특별자치도 제주시 탑동로2길 3,제주시,33.517685,126.52346,1915
지오아라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-86,서귀포시,33.23644,126.30779,10868
피쉬웍스,제주특별자치도 서귀포시 성산읍 환해장성로 913,서귀포시,33.43299,126.91497,2238
수다브런치카페,제주특별자치도 제주시 남광로2길 39-23,제주시,33.49074,126.54153,3040
돌미롱,제주특별자치도 제주시 인다15길 43,제주시,33.47146814,126.5512019,3567
공주네국수,제주특별자치도 제주시 삼봉로 353,제주시,33.4913874,126.5937826,352
제주바솔트,제주특별자치도 제주시 가령골3길 6,제주시,33.5041045,126.539253,508
해무,제주특별자치도 제주시 조천읍 함덕남4길 105,제주시,33.5280596,126.6687008,245
감미롭다 제주,제주특별자치도 서귀포시 막동산로 8-3,서귀포시,33.2571047,126.5246492,142
러프라이프커피,제주특별자치도 제주시 동광로2길 5,제주시,33.5007713,126.5307181,184
기억나는집,제주특별자치도 서귀포시 중앙로 6,서귀포시,33.245117,126.56229,18548
호텔샌드,제주특별자치도 제주시 한림읍 한림로 339,제주시,33.3940486,126.2405962,332
커피림,제주특별자치도 제주시 수목원길 27,제주시,33.469433,126.4882,3914
가파도 용궁정식,제주특별자치도 서귀포시 대정읍 가파로67번길 7,서귀포시,33.1661962,126.2730328,7317
신스버거,제주특별자치도 제주시 한림읍 월령2길 2,제주시,33.3746401,126.2166188,4170
달아래팥,제주특별자치도 제주시 한경면 낙수로 148,제주시,33.324066,126.22911,7975
뚱삼춘연탄구이,제주특별자치도 서귀포시 성산읍 한도로 124,서귀포시,33.46849,126.92127,3171
바사그미,제주특별자치도 제주시 1100로 2894-72,제주시,33.4517135,126.4901715,348
평대스낵,제주특별자치도 제주시 구좌읍 대수길 7,제주시,33.535458,126.839325,8051
신우성타운,제주특별자치도 서귀포시 중문관광로72번길 29-9,서귀포시,33.24968,126.41136,5244
